iter	MultiClass	F1:class=0	F1:class=1	F1:class=2
0	0.9137378147	0.660130719	0.586102719	0.7108280255
1	0.7896045874	0.7167449139	0.6303030303	0.7378129117
2	0.7333987716	0.7208931419	0.622754491	0.7509778357
3	0.6880053869	0.7411003236	0.6686746988	0.7712082262
4	0.6507329968	0.7549019608	0.6726726727	0.7765006386
5	0.6263174962	0.7529021559	0.7098765432	0.7965043695
6	0.5938817647	0.7633333333	0.722741433	0.8054522924
7	0.5724348897	0.7808896211	0.7106918239	0.8144458281
8	0.5552600988	0.7843137255	0.73125	0.8190954774
9	0.5444502934	0.7902439024	0.738170347	0.824120603
10	0.5355711715	0.8013245033	0.7616099071	0.8239700375
11	0.5269534351	0.798013245	0.7639751553	0.8229426434
12	0.5154721078	0.8006589786	0.7692307692	0.8266331658
13	0.5091999813	0.7960526316	0.7616099071	0.8205771644
14	0.4952475971	0.8131147541	0.775	0.8370927318
15	0.479364032	0.8266666667	0.7914110429	0.8478802993
16	0.4605645905	0.8333333333	0.8136645963	0.8660049628
17	0.4536679436	0.84	0.8074534161	0.8734491315
18	0.4494346127	0.8380634391	0.8184615385	0.8731343284
19	0.4386416511	0.8433333333	0.8235294118	0.8795031056
20	0.4301717872	0.8527918782	0.8123076923	0.8891625616
21	0.4202504652	0.8489932886	0.8246153846	0.8897149938
22	0.4126632215	0.8542372881	0.8246153846	0.8905289053
23	0.407890919	0.8532883642	0.8275862069	0.8946078431
24	0.3967423987	0.8682432432	0.8297213622	0.8979089791
25	0.381913827	0.8595600677	0.8322981366	0.8883435583
26	0.3751795691	0.8677966102	0.8447204969	0.8970588235
27	0.363711359	0.8741496599	0.8658536585	0.9039408867
28	0.3544192395	0.8862478778	0.874617737	0.9113300493
29	0.3479635082	0.8979591837	0.8738461538	0.917791411
30	0.3388223305	0.8923076923	0.8814589666	0.9164619165
31	0.3344781593	0.9022298456	0.8888888889	0.9236453202
32	0.3291756602	0.8983050847	0.9003021148	0.9194547708
33	0.3220036298	0.8994889267	0.9063444109	0.9234567901
34	0.3128991568	0.9084745763	0.9161676647	0.9328358209
35	0.3081430463	0.9063032368	0.9134328358	0.9305210918
36	0.3031630013	0.9109589041	0.9161676647	0.9333333333
37	0.2937876314	0.9264957265	0.9230769231	0.9440993789
38	0.2875116958	0.9315068493	0.9203539823	0.9465838509
39	0.281561182	0.9397590361	0.9230769231	0.9542645241
40	0.2781828127	0.9379310345	0.9262536873	0.956736712
41	0.273837272	0.9430051813	0.9262536873	0.9580246914
42	0.2695427689	0.9379310345	0.9294117647	0.9554455446
43	0.2624117457	0.9446366782	0.9418604651	0.9627791563
44	0.2545890989	0.955017301	0.9504373178	0.9665427509
45	0.2485036992	0.9636048527	0.9537572254	0.9714285714
46	0.2454699991	0.9601386482	0.9565217391	0.9702233251
47	0.238828539	0.9619377163	0.9595375723	0.9701492537
48	0.2321677883	0.9619377163	0.9537572254	0.9701492537
49	0.2261820217	0.9653979239	0.9565217391	0.9739130435
50	0.2242764768	0.9705372617	0.9595375723	0.9763975155
