iter	Passed	Remaining
0	154	15303
1	158	7750
2	161	5221
3	164	3945
4	167	3178
5	169	2662
6	172	2293
7	175	2017
8	178	1803
9	181	1629
10	183	1486
11	186	1367
12	189	1265
13	191	1177
14	194	1101
15	197	1035
16	199	975
17	202	921
18	205	874
19	207	830
20	210	790
21	212	754
22	215	722
23	218	690
24	220	662
25	223	636
26	226	611
27	228	588
28	231	566
29	234	546
30	237	527
31	239	509
32	242	492
33	245	476
34	247	460
35	250	445
36	253	431
37	256	417
38	258	404
39	261	391
40	264	380
41	266	368
42	269	356
43	272	346
44	274	335
45	277	325
46	280	316
47	283	306
48	285	297
49	288	288
50	291	279
51	294	271
52	297	263
53	299	255
54	302	247
55	305	240
56	308	232
57	311	225
58	313	218
59	316	210
60	319	204
61	323	198
62	326	191
63	328	184
64	331	178
65	334	172
66	336	165
67	339	159
68	341	153
69	344	147
70	347	141
71	349	136
72	352	130
73	355	124
74	357	119
75	360	113
76	363	108
77	365	103
78	368	98
79	372	93
80	374	87
81	377	82
82	380	77
83	383	73
84	386	68
85	388	63
86	391	58
87	394	53
88	396	49
89	399	44
90	402	39
91	404	35
92	407	30
93	410	26
94	413	21
95	415	17
96	418	12
97	421	8
98	423	4
99	426	0
